image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-4-201002,"16045-4-201002 [d=2.1996,x=12318,y=45752,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=12318,y=46632,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=12318,y=47511,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=12318,y=48391,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=12318,y=880,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=0,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=16717,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=17597,w=879,h=880]",480000,479994,6
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=1760,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=18477,w=879,h=879]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=19356,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=20236,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=21116,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=21996,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=22876,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=27275,w=879,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=28155,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=29035,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=29915,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=30794,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=31674,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=32554,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=33434,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=34314,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=35194,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=36073,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=36953,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=37833,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=38713,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=39593,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=40473,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=41352,w=879,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=42232,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=43112,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=43992,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=44872,w=879,h=880]",480000,479994,6
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=45752,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=46632,w=879,h=879]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=47511,w=879,h=880]",480000,479994,6
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=48391,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=13198,y=880,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=0,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=16717,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=17597,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=1760,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=18477,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=19356,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=20236,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=21116,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=21996,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=22876,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=26395,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=27275,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=28155,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=29035,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=29915,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=30794,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=31674,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=32554,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=33434,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=34314,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=35194,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=36073,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=36953,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=37833,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=38713,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=39593,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=40473,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=41352,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=42232,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=43112,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=43992,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=44872,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=45752,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=46632,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=47511,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14077,y=880,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=0,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=16717,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=17597,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=1760,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=18477,w=880,h=879]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=19356,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=20236,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=21116,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=21996,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=24636,w=880,h=879]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=25515,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=26395,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=27275,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=28155,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=29035,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=29915,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=30794,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=31674,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=32554,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=33434,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=34314,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=35194,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=36073,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=36953,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=37833,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=38713,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=39593,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=40473,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=41352,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=42232,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=43112,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=43992,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=14957,y=880,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=0,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=16717,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=17597,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=1760,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=18477,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=19356,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=20236,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=21116,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=21996,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=22876,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=23756,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=24636,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=25515,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=26395,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=27275,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=28155,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=29035,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=29915,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=30794,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=31674,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=32554,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=33434,w=880,h=880]",480000,479991,9
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=34314,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=35194,w=880,h=879]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=36073,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=36953,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=37833,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=38713,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=39593,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=40473,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=41352,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=42232,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=43112,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=15837,y=880,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=0,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=16717,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=17597,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=1760,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=18477,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=19356,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=20236,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=21116,w=880,h=880]",480000,479994,6
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=21996,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=22876,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=23756,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=24636,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=25515,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=26395,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=27275,w=880,h=880]",480000,479973,27
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=28155,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=29035,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=29915,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=30794,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=31674,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=32554,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=33434,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=34314,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=35194,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=36073,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=36953,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=37833,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=38713,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=39593,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=40473,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=41352,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=42232,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=16717,y=880,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=0,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=16717,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=17597,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=1760,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=18477,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=19356,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=20236,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=21116,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=21996,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=22876,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=23756,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=24636,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=25515,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=26395,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=27275,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=28155,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=29035,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=29915,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=30794,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=31674,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=32554,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=33434,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=34314,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=35194,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=36073,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=36953,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=37833,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=38713,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=39593,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=40473,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=41352,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=42232,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=17597,y=880,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=1760,y=0,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=1760,y=1760,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=0,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=16717,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=17597,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=1760,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=18477,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=19356,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=20236,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=21116,w=879,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=21996,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=22876,w=879,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=23756,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=24636,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=25515,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=26395,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=27275,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=28155,w=879,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=29035,w=879,h=880]",480000,479964,36
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=29915,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=30794,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=31674,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=32554,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=33434,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=34314,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=35194,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=36073,w=879,h=880]",480000,479964,36
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=36953,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=37833,w=879,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=38713,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=39593,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=40473,w=879,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=41352,w=879,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=18477,y=880,w=879,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=0,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=16717,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=17597,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=1760,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=18477,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=19356,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=20236,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=21116,w=880,h=880]",480000,479991,9
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=21996,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=22876,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=23756,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=24636,w=880,h=879]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=25515,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=26395,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=27275,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=28155,w=880,h=880]",480000,479997,3
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=29035,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=29915,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=30794,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=31674,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=32554,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=33434,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=34314,w=880,h=880]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=35194,w=880,h=879]",480000,480000,0
16045-4-201002,"16045-4-201002 [d=2.1996,x=19356,y=36073,w=880,h=880]",480000,480000,0
